corrida_id,etiqueta,fase,repeticion,ejecutado_utc,arch,workers,batch_size,queue_maxsize,esquema,seed,start_method,intervalo_s,sim_ticks,sim_dias,puntos,duracion_s,total_eventos,total_bytes,eventos_por_segundo,mb_por_segundo,bytes_por_evento,worker_min_s,worker_max_s,desbalance_puntos,pico_padre_mb,pico_hijo_mayor_mb,python,so,maquina,nucleos_logicos
20260908T184035-queue-w8-r1,maxsize-64,medida,1,2026-09-08T18:40:35+00:00,queue,8,10000,64,full,42,spawn,15.0,55866,9.699,179,6.047,10000014,1877676777,1653728.3,310.52,187.77,5.26,5.923,1,,,3.14.4,Windows 11,AMD64,20
20260908T184043-queue-w8-r2,maxsize-64,medida,2,2026-09-08T18:40:43+00:00,queue,8,10000,64,full,42,spawn,15.0,55866,9.699,179,7.52,10000014,1877676777,1329849.6,249.7,187.77,6.856,7.397,1,,,3.14.4,Windows 11,AMD64,20
20260908T184051-queue-w8-r3,maxsize-64,medida,3,2026-09-08T18:40:51+00:00,queue,8,10000,64,full,42,spawn,15.0,55866,9.699,179,7.665,10000014,1877676777,1304594.9,244.96,187.77,6.907,7.531,1,,,3.14.4,Windows 11,AMD64,20
20260908T183958-queue-w8-r0,maxsize-8,calentamiento,0,2026-09-08T18:39:58+00:00,queue,8,10000,8,full,42,spawn,15.0,55866,9.699,179,7.57,10000014,1877676777,1321062.2,248.05,187.77,6.841,7.451,1,,,3.14.4,Windows 11,AMD64,20
20260908T184006-queue-w8-r1,maxsize-8,medida,1,2026-09-08T18:40:06+00:00,queue,8,10000,8,full,42,spawn,15.0,55866,9.699,179,7.686,10000014,1877676777,1301122.0,244.31,187.77,6.883,7.555,1,,,3.14.4,Windows 11,AMD64,20
20260908T184014-queue-w8-r2,maxsize-8,medida,2,2026-09-08T18:40:14+00:00,queue,8,10000,8,full,42,spawn,15.0,55866,9.699,179,7.556,10000014,1877676777,1323459.5,248.5,187.77,7.0,7.429,1,,,3.14.4,Windows 11,AMD64,20
20260908T184021-queue-w8-r3,maxsize-8,medida,3,2026-09-08T18:40:21+00:00,queue,8,10000,8,full,42,spawn,15.0,55866,9.699,179,7.504,10000014,1877676777,1332692.2,250.24,187.77,6.883,7.371,1,,,3.14.4,Windows 11,AMD64,20
20260908T185550-queue-w8-r1,mem_cola_8,medida,1,2026-09-08T18:55:50+00:00,queue,8,10000,8,full,42,spawn,15.0,55866,9.699,179,8.004,10000014,1877676777,1249445.0,234.61,187.77,7.297,7.873,1,,,3.14.4,Windows 11,AMD64,20
20260908T185603-queue-w8-r1,mem_cola_8,medida,1,2026-09-08T18:56:03+00:00,queue,8,10000,8,full,42,spawn,15.0,55866,9.699,179,7.499,10000014,1877676777,1333536.3,250.39,187.77,6.577,7.358,1,,,3.14.4,Windows 11,AMD64,20
20260908T185624-queue-w8-r1,mem_cola_8,medida,1,2026-09-08T18:56:24+00:00,queue,8,10000,8,full,42,spawn,15.0,55866,9.699,179,5.754,10000014,1877676777,1738067.0,326.35,187.77,5.396,5.632,1,,,3.14.4,Windows 11,AMD64,20
20260908T190441-queue-w8-r1,mem_q1024,medida,1,2026-09-08T19:04:41+00:00,queue,8,10000,1024,full,42,spawn,15.0,55866,9.699,179,6.615,10000014,1877676777,1511653.8,283.84,187.77,6.061,6.508,1,,,3.14.4,Windows 11,AMD64,20
20260908T190430-queue-w8-r1,mem_q8,medida,1,2026-09-08T19:04:30+00:00,queue,8,10000,8,full,42,spawn,15.0,55866,9.699,179,6.763,10000014,1877676777,1478630.3,277.64,187.77,6.258,6.635,1,,,3.14.4,Windows 11,AMD64,20
20260908T190329-shard-w8-r1,mem_shard,medida,1,2026-09-08T19:03:29+00:00,shard,8,10000,,full,42,spawn,15.0,55866,9.699,179,5.642,10000014,1877676777,1772538.5,332.82,187.77,4.983,5.54,1,,,3.14.4,Windows 11,AMD64,20
20260908T185129-shard-w8-r1,memoria_observada,medida,1,2026-09-08T18:51:29+00:00,shard,8,10000,,full,42,spawn,15.0,55866,9.699,179,6.762,10000014,1877676777,1478895.1,277.69,187.77,5.553,6.642,1,,,3.14.4,Windows 11,AMD64,20
20260908T185142-shard-w8-r1,memoria_observada,medida,1,2026-09-08T18:51:42+00:00,shard,8,10000,,full,42,spawn,15.0,55866,9.699,179,5.572,10000014,1877676777,1794849.4,337.01,187.77,4.475,5.43,1,,,3.14.4,Windows 11,AMD64,20
20260908T185407-shard-w8-r1,memoria_observada,medida,1,2026-09-08T18:54:07+00:00,shard,8,10000,,full,42,spawn,15.0,55866,9.699,179,6.377,10000014,1877676777,1568085.0,294.44,187.77,5.512,6.243,1,,,3.14.4,Windows 11,AMD64,20
20260908T185427-shard-w8-r1,memoria_observada,medida,1,2026-09-08T18:54:27+00:00,shard,8,10000,,full,42,spawn,15.0,55866,9.699,179,5.392,10000014,1877676777,1854539.2,348.22,187.77,4.836,5.249,1,,,3.14.4,Windows 11,AMD64,20
20260908T185727-shard-w8-r1,memoria_observada,medida,1,2026-09-08T18:57:27+00:00,shard,8,10000,,full,42,spawn,15.0,55866,9.699,179,7.402,10000014,1877676777,1350978.9,253.67,187.77,5.959,7.265,1,,,3.14.4,Windows 11,AMD64,20
20260908T185738-shard-w8-r1,memoria_observada,medida,1,2026-09-08T18:57:38+00:00,shard,8,10000,,full,42,spawn,15.0,55866,9.699,179,5.759,10000014,1877676777,1736448.4,326.05,187.77,4.386,5.629,1,,,3.14.4,Windows 11,AMD64,20
20260908T182200-shard-w1-r1,w1_varianza,medida,1,2026-09-08T18:22:00+00:00,shard,1,10000,,full,42,spawn,15.0,55866,9.699,179,30.828,10000014,1877676777,324377.3,60.91,187.77,30.733,30.733,0,,,3.14.4,Windows 11,AMD64,20
20260908T182231-shard-w1-r2,w1_varianza,medida,2,2026-09-08T18:22:31+00:00,shard,1,10000,,full,42,spawn,15.0,55866,9.699,179,30.99,10000014,1877676777,322688.5,60.59,187.77,30.894,30.894,0,,,3.14.4,Windows 11,AMD64,20
20260908T182302-shard-w1-r3,w1_varianza,medida,3,2026-09-08T18:23:02+00:00,shard,1,10000,,full,42,spawn,15.0,55866,9.699,179,31.185,10000014,1877676777,320664.2,60.21,187.77,31.08,31.08,0,,,3.14.4,Windows 11,AMD64,20
20260908T182402-shard-w1-r4,w1_varianza,medida,4,2026-09-08T18:24:02+00:00,shard,1,10000,,full,42,spawn,15.0,55866,9.699,179,59.55,10000014,1877676777,167926.1,31.53,187.77,59.455,59.455,0,,,3.14.4,Windows 11,AMD64,20
20260908T182501-shard-w1-r5,w1_varianza,medida,5,2026-09-08T18:25:01+00:00,shard,1,10000,,full,42,spawn,15.0,55866,9.699,179,58.942,10000014,1877676777,169658.1,31.86,187.77,58.844,58.844,0,,,3.14.4,Windows 11,AMD64,20
20260908T182601-shard-w1-r6,w1_varianza,medida,6,2026-09-08T18:26:01+00:00,shard,1,10000,,full,42,spawn,15.0,55866,9.699,179,60.244,10000014,1877676777,165990.7,31.17,187.77,60.146,60.146,0,,,3.14.4,Windows 11,AMD64,20
